src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.728604
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.728621
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.752302
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.752360
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.754447
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.754506
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.754550
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.754566
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.755102
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.755132
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.756303
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.756337
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.765633
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.765691
10.52.21.69,10.52.21.225,53,64699,UDP,179,1773570552.768033
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.768033
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.768033
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570552.768033
10.52.21.69,10.52.21.225,53,54145,UDP,219,1773570552.768033
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.768170
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.768204
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570552.768749
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.770048
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.770075
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.775702
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.775769
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.776598
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.776635
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.821910
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.821973
45.13.104.185,10.52.21.225,9001,60901,TCP,982,1773570552.907122
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.907122
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.907171
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.907886
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.908563
10.52.21.225,10.52.21.69,56923,53,UDP,77,1773570552.918591
10.52.21.225,10.52.21.69,49787,53,UDP,77,1773570552.918750
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.924737
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.924791
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.926049
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570552.926088
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.926139
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.926159
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.929033
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.929092
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.929149
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.929178
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.936159
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.936212
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.936812
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.936837
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.936865
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.936876
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.951405
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.951405
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.951405
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.951492
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952042
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952042
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952042
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.952078
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952110
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952126
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952149
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952158
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952291
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952291
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952324
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952361
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952361
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952361
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952381
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.952450
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.952468
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.952657
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.952677
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.953148
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.953169
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.953196
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.953206
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.953447
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.953476
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.953606
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.953629
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.953786
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.953810
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.953932
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.953958
152.53.246.111,10.52.21.225,9001,27546,TCP,454,1773570552.954061
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.954079
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.965320
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.965371
10.52.21.69,10.52.21.225,53,56923,UDP,197,1773570552.980693
10.52.21.69,10.52.21.225,53,49787,UDP,240,1773570552.983856
10.52.21.225,23.53.128.229,11632,80,TCP,66,1773570552.984660
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.987922
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.987965
23.53.128.229,10.52.21.225,80,11632,TCP,66,1773570553.111165
10.52.21.225,23.53.128.229,11632,80,TCP,54,1773570553.111272
10.52.21.225,23.53.128.229,11632,80,TCP,337,1773570553.111505
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570553.111872
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570553.111921
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570553.111966
45.13.104.185,10.52.21.225,9001,60901,TCP,4254,1773570553.111966
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570553.111993
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570553.112007
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570553.112073
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570553.112087
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570553.112109
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570553.112109
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570553.112124
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570553.112135
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570553.112447
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570553.112478
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570553.112581
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570553.112602
