flow_id,packet_count,total_bytes,start_time,end_time,duration
149.154.175.54_10.52.21.225_443_33949_TCP,3,363,1773567995.37381,1773567996.173335,1e-09
149.154.175.54_10.52.21.225_443_33950_TCP,3,259,1773567995.373163,1773567996.151952,1e-09
149.154.175.54_10.52.21.225_443_33951_TCP,3,383,1773567995.373385,1773567996.135495,1e-09
149.154.175.54_10.52.21.225_443_33968_TCP,7,1262,1773567996.173335,1773568013.692179,1.7e-08
149.154.175.54_10.52.21.225_443_33969_TCP,2,273,1773567996.197802,1773567996.621407,0.0
149.154.175.54_10.52.21.225_443_33970_TCP,7,1318,1773567996.17542,1773568013.704512,1.7e-08
149.154.175.54_10.52.21.225_443_33971_TCP,7,1226,1773567996.176225,1773568013.704512,1.7e-08
149.154.175.54_10.52.21.225_443_33987_TCP,2,253,1773568023.123584,1773568023.770177,0.0
149.154.175.54_10.52.21.225_443_33988_TCP,2,277,1773568023.187253,1773568023.823929,0.0
149.154.175.54_10.52.21.225_443_33995_TCP,3,343,1773568024.349468,1773568025.215655,1e-09
149.154.175.54_10.52.21.225_443_33996_TCP,3,383,1773568024.349468,1773568025.215655,1e-09
149.154.175.54_10.52.21.225_80_33952_TCP,3,174,1773567995.37381,1773567996.153555,1e-09
149.154.175.54_10.52.21.225_80_33953_TCP,3,174,1773567995.373385,1773567996.135495,1e-09
149.154.175.54_10.52.21.225_80_33956_TCP,3,174,1773567995.374912,1773567996.172925,1e-09
149.154.175.54_10.52.21.225_80_33957_TCP,3,174,1773567995.374912,1773567996.172925,1e-09
149.154.175.54_10.52.21.225_80_33973_TCP,3,174,1773567996.185635,1773567997.193403,1e-09
149.154.175.54_10.52.21.225_80_33976_TCP,3,174,1773567996.173335,1773567997.181594,1e-09
149.154.175.54_10.52.21.225_80_33977_TCP,3,174,1773567996.185635,1773567997.194799,1e-09
149.154.175.54_10.52.21.225_80_33978_TCP,3,174,1773567996.17542,1773567997.201705,1e-09
149.154.175.54_10.52.21.225_80_33990_TCP,3,174,1773568023.197546,1773568024.349468,1e-09
149.154.175.54_10.52.21.225_80_33991_TCP,3,174,1773568023.19021,1773568024.349468,1e-09
149.154.175.54_10.52.21.225_80_33997_TCP,5,537,1773568024.349468,1773568025.215655,1e-09
149.154.175.54_10.52.21.225_80_34000_TCP,5,637,1773568024.349468,1773568025.215655,1e-09
20.189.173.2_10.52.21.225_443_64364_TCP,2,630,1773567965.982116,1773567966.184913,1e-09
20.50.80.210_10.52.21.225_443_33934_TCP,8,7951,1773567980.962835,1773567988.001757,8e-09
20.50.80.210_10.52.21.225_443_33937_TCP,10,7982,1773567990.932179,1773567999.643767,9e-09
20.50.80.210_10.52.21.225_443_34001_TCP,11,8127,1773568024.375723,1773568029.141584,5e-09
204.79.197.222_10.52.21.225_443_26847_TCP,1,66,1773568008.394931,1773568008.394931,0.0
204.79.197.222_10.52.21.225_443_39553_TCP,7,605,1773567978.323875,1773568023.799203,4.5e-08
40.104.68.98_10.52.21.225_443_45704_TCP,1,54,1773568018.106408,1773568018.106408,0.0
52.104.99.55_10.52.21.225_443_45697_TCP,103,155960,1773567977.493114,1773567998.460995,2.1e-08
52.123.226.74_10.52.21.225_443_24654_TCP,1,66,1773567964.357044,1773567964.357044,0.0
9.235.21.27_10.52.21.225_443_33933_TCP,3,198,1773567976.565609,1773567979.804125,3e-09
9.235.21.27_10.52.21.225_443_5047_TCP,3,198,1773567976.332617,1773567979.498263,3e-09
91.108.23.100_10.52.21.225_443_33962_TCP,242,398936,1773567995.782301,1773568036.637072,4.1e-08
91.108.23.100_10.52.21.225_443_33982_TCP,56,79871,1773567996.921667,1773568008.378373,1.2e-08
91.108.23.100_10.52.21.225_443_50465_TCP,221,325256,1773567995.417094,1773568036.333068,4.1e-08
91.108.23.100_10.52.21.225_443_64492_TCP,32,41013,1773567998.043711,1773568008.902739,1e-08
91.108.23.100_10.52.21.225_80_33963_TCP,3,174,1773567995.782964,1773567995.967158,0.0
91.108.23.100_10.52.21.225_80_33983_TCP,3,174,1773567996.921321,1773567997.249576,1e-09
